Spec#,Date coll,Jar #,Tag # individ,M/F,mm,BD,MC(L),MC(S),ACANTH,Coordinates,,
CT_152,9-Dec-2019,Cray2019_563,344,F,32.7,,,,,"Cray2019_563: 32.7227N, -79.9682W",,
CT_153,9-Dec-2019,Cray2019_563,346,F,28.6,,,,,"Cray2019_563: 32.7227N, -79.9682W",,
CT_154,9-Dec-2019,Cray2019_563,347,M,20.2,,,,,"Cray2019_563: 32.7227N, -79.9682W",,
CT_155,25-May-2019,Cray2019_347,Trog_0224,M,24.9,,2,,,"Cray2019_347: 33195594N, -79.462458W",,
CT_156,25-May-2019,Cray2019_347,Trog_0223,M,28.5,,3,,,"Cray2019_347: 33195594N, -79.462458W",,
CT_157,25-May-2019,Cray2019_347,Trog_0222,M,30,,,,,"Cray2019_347: 33195594N, -79.462458W",,
CT_158,25-May-2019,Cray2019_347,Trog_0221,F,23.6,,,,,"Cray2019_347: 33195594N, -79.462458W",,
CT_159,8-Apr-2019,Cray2019_493,Trog_0291,M,29.1,,,,,"Cray2019_493: 32.745423N, -79.940928W",,
CT_160,10-Oct-2019,Cray2019_496,Trog_0158,M,32.2,,,,,"Cray2019_496: 32.79928N, -79.89762W",,
CT_161,23-May-2019,Cray2019_325,Trog_0188,M,16.4,,5,,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_162,23-May-2019,Cray2019_325,Trog_0187,M,16.1,,,,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_163,23-May-2019,Cray2019_325,Trog_0186,F,20.1,,"2,5",,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_164,23-May-2019,Cray2019_325,Trog_0184,F,18.5,,,,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_165,23-May-2019,Cray2019_325,Trog_0185,M,20.3,,,,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_166,23-May-2019,Cray2019_325,Trog_0183,M,15.9,,,,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_167,23-May-2019,Cray2019_325,Trog_0182,M,16.3,,,,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_168,23-May-2019,Cray2019_325,Trog_0181,M,15.7,,,,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_169,23-May-2019,Cray2019_325,Trog_0180,M,17.3,,8,,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_170,23-May-2019,Cray2019_325,Trog_0179,F,16.7,,,,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_171,23-May-2019,Cray2019_325,Trog_0176,F,19.2,,,,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_172,23-May-2019,Cray2019_325,Trog_0178,F,26.8,,,,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_173,23-May-2019,Cray2019_325,Trog_0175,F,25.2,,,,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_174,23-May-2019,Cray2019_325,Trog_0177,M,20.9,,,,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_175,15-May-2019,Cray2019_343,Trog_0343,M,16.2,,,,,"Cray2019_278: 32.844563N, -80.124694W",,
CT_176,15-May-2019,Cray2019_343,Trog_0342,M,18.1,,,,,"Cray2019_278: 32.844563N, -80.124694W",,
CT_177,15-May-2019,Cray2019_343,Trog_0341,F,23.5,,,,,"Cray2019_278: 32.844563N, -80.124694W",,
CT_178,25-May-2019,Cray2019_350,Trog_0333,M,17.9,,,10,,"Cray2019_350: 33.284954N, -79.61379W",,
CT_179,25-May-2019,Cray2019_350,Trog_0335,M,15.4,,,,,"Cray2019_350: 33.284954N, -79.61379W",,
CT_180,25-May-2019,Cray2019_350,Trog_0332,F,15.8,,,,,"Cray2019_350: 33.284954N, -79.61379W",,
CT_181,25-May-2019,Cray2019_350,Trog_0334,F,13.1,,,10,,"Cray2019_350: 33.284954N, -79.61379W",,
CT_182,27-Apr-2019,Cray2019_241,Trog_0192,F,20.6,,,8,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_183,27-Apr-2019,Cray2019_241,Trog_0190,F,19.1,,,10,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_184,27-Apr-2019,Cray2019_241,Trog_0198,M,17.6,,,,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_185,27-Apr-2019,Cray2019_241,Trog_0195,M,19.5,,,,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_186,27-Apr-2019,Cray2019_241,Trog_0191,F,16.2,,,,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_187,27-Apr-2019,Cray2019_241,Trog_0193,F,15.9,,,,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_188,27-Apr-2019,Cray2019_241,Trog_0196,F,15.1,,,,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_189,27-Apr-2019,Cray2019_241,Trog_0189,F,14.9,,,10,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_190,27-Apr-2019,Cray2019_241,Trog_0194,M,15.2,,,,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_191,27-Apr-2019,Cray2019_241,Trog_0197,F,13.8,,,,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_192,27-Apr-2019,Cray2019_186,Trog_0360,M,15.3,,,,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_193,27-Apr-2019,Cray2019_186,Trog_0354,F,19.9,,,,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_194,27-Apr-2019,Cray2019_186,Trog_0361,F,16.9,,,,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_195,27-Apr-2019,Cray2019_186,Trog_0355,F,18.5,,,10,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_196,27-Apr-2019,Cray2019_186,Trog_0358,M,16.3,,,,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_197,27-Apr-2019,Cray2019_186,Trog_0357,M,17.4,,,,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_198,27-Apr-2019,Cray2019_186,Trog_0356,M,13.6,,,,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_199,27-Apr-2019,Cray2019_186,Trog_0359,F,14.5,,,,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_200,1-Feb-2019,Cray2021_008,Trog_0305,F,20.9,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
CT_201,1-Feb-2019,Cray2021_008,Trog_0304,M,16.7,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
CT_202,1-Feb-2019,Cray2021_008,Trog_0303,F,18.6,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
CT_203,1-Feb-2019,Cray2021_008,Trog_0306,F,16.9,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
CT_204,1-Feb-2019,Cray2021_008,Trog_0308,M,12.7,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
CT_205,1-Feb-2019,Cray2021_008,Trog_0309,F,14.1,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
CT_206,1-Feb-2019,Cray2021_008,Trog_0307,M,12.2,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
CT_207,1-Feb-2019,Cray2021_008,Trog_0310,F,13.6,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
